hyponim|hyponim1|hyperonim|text|link|bool|comment
КАПРИЧЧИО|пицца|блюдо|Пи́цца (итал. pizza) — итальянское национальное блюдо в виде круглой открытой дрожжевой лепёшки, покрытой в классическом варианте томатным соусом и расплавленным сыром[1]. Сыр (как правило, моцарелла) является главным ингредиентом начинки пиццы. Одно из самых популярных блюд в мире, как в домашней кухне, так и в ресторанах, кафе и фастфуде.|https://ru.wikipedia.org/wiki/%D0%9F%D0%B8%D1%86%D1%86%D0%B0|0|каприччио=>еда=>пицца
КАПРИЧЧИО|КАПРИЧЧИО|пицца| Каприччио это пицца с ветчиной и грибами|http://nyam.ru/recipes/vypechka/picca/picca-kaprichchio-s-vetchinoj-i-gribami|1|0
КАПУСТНИЦА|КАПУСТНИЦА|бабочка| Капустница - дневная бабочка из семейства белянок (Pieridae). Видовой эпитет происходит от лат. Brassica — капуста, одно из кормовых растений гусениц.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%BD%D0%B8%D1%86%D0%B0_(%D0%B1%D0%B0%D0%B1%D0%BE%D1%87%D0%BA%D0%B0)|1|0
КАПУСТНИЦА|КАПУСТНИЦА|вредитель| капустница - вредитель относится к отряду Чешуекрылые, семейству Белянки.|https://www.avgust.com/atlas/v/detail.php?ID=6403|1|0
КАПУСТНИЦА|КАПУСТНИЦА|суп | Капустница (капустняк, капусняк, капуста) — традиционный вид супов из квашеной капусты[1]. Является аналогом русских щей, но не следует считать это одним и тем же блюдом, так как капустница готовится исключительно из квашеной капусты[2]. Традиционное блюдо на рождественском столе.[3]|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%BD%D0%B8%D1%86%D0%B0_(%D1%81%D1%83%D0%BF)|0|Синоним капустница
КАПУСТНИЦА|Капустная белянка|Капустница - вредитель крастноцветных |Капустная белянка (капустница) – вредитель крестоцветных. Питаются гусеницы. Особенно сильно повреждает белокочанную и цветную капусту, а также брюкву, репу, редис, редьку, турнепс, хрен, рапс, горчицу, индау. Размножение двуполое. Развитие полное. Зимуют диапаузирующие куколки. В течение вегетационного периода развивается до пяти поколений.[5]|http://www.pesticidy.ru/%D0%91%D0%B5%D0%BB%D1%8F%D0%BD%D0%BA%D0%B0_%D0%BA%D0%B0%D0%BF%D1%83%D1%81%D1%82%D0%BD%D0%B0%D1%8F|1|0
КАПУСТНИЦА|КАПУСТНИЦА|насекомое| Капустница - это насекомое является представителем обширнейшего семейства белянок, гигантский вред оно причиняет преимущественно насаждениям капусты и крестоцветным овощам. Крылышки у нее белые с характерными черными пятнышками, в размахе достигают 6,3 см. Гусеницы у этой бабочки зеленовато-желтой окраски, покрытые коротенькими темными шерстинками, имеют на спинке желтые полоски. В стадии куколки насекомые прячутся на заборе, в коре растений, среди камней.|https://35media.ru/articles/2018/06/22/babochki-vrediteli-ne-lyubyat-valeryanku|1|0
КАРАВЕЛЛА|КАРАВЕЛЛА|судно|Караве́лла — тип парусного судна, распространённый в Европе, особенно в Португалии и Испании.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%B2%D0%B5%D0%BB%D0%BB%D0%B0|1|0
КАРАВЕЛЛА|КАРАВЕЛЛА|корабль|Каравелла - это быстрый корабль, используемый в основном на xv. |https://educalingo.com/ru/dic-fr/caravelle|1|0
КАРАВЕЛЛА|КАРАВЕЛЛА|самолет средней дальности|Другим определением каравелла является самолет средней дальности.|https://educalingo.com/ru/dic-fr/caravelle|1|0
КАРАВЕЛЛА|КАРАВЕЛЛА|парусное судно | Каравелла — тип парусного судна, распространённый в Европе, особенно в Португалии и Испании, во второй половине XV — начале XVII века. Один из первых и наиболее известный тип кораблей, с которых начиналась эпоха Великих географических открытий.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%B2%D0%B5%D0%BB%D0%BB%D0%B0|1|0
КАРАВЕЛЛА|КАРАВЕЛЛА|европейский автомобиль| Караве́лла - европейский автомобиль.|https://www.volkswagen-commercial.ru/ru/models/caravelle.html|1|0
КАРАКАТИЦА|КАРАКАТИЦА|моллюск| Карака́тицы (лат. Sepiida) — отряд моллюсков из класса головоногих.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D0%B0%D1%82%D0%B8%D1%86%D1%8B|1|0
КАРАКАТИЦА|КАРАКАТИЦА|головоногое|Хоть каракатица (лат. Sepiida) и принадлежит к классу головоногих, с другими моллюсками ее почти ничего не роднит. Взять хотя бы панцирь, который у каракатицы находится не снаружи, а внутри тела и отвечает за ее плавучесть. А тот факт, что это существо имеет целых три сердца, достоин внесения в морскую Книгу рекордов Гиннеса. Два из сердец координируют работу жабр, а третье ответственно за функционирование нервной системы.|http://www.zoopicture.ru/karakaticy/|1|0
КАРАКАТИЦА|КАРАКАТИЦА|животное|Карака́тицы - царство животных|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D0%B0%D1%82%D0%B8%D1%86%D1%8B|1|0
КАРАКАТИЦА|моллюск|мягкотелое животное|Моллюски — мягкотелые животные, о чем говорит их название, которое в переводе с латинского означает «мягонький». |https://web-zoopark.ru/nauka_o_zhivotnih/iglokozhie-i-mollyuski.html|0|каракатица=>моллюск
КАРАКАТИЦА|моллюск|морской обитатель|Морские звезды, лобстеры, скаты и моллюски и другие морские обитатели стали жертвой "звезды востока"|||
КАРАКУРТ|КАРАКУРТ|вид пауков|Караку́рт — вид пауков из рода чёрных вдов. Латинское название вида передаёт внешние морфологические признаки: тринадцать точек или пятен на верхней стороне брюшка.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D1%83%D1%80%D1%82|1|0
КАРАКУРТ|КАРАКУРТ|черная вдова|Караку́рт - род чёрные вдовы|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D1%83%D1%80%D1%82|1|0
КАРАКУРТ|КАРАКУРТ|членистоногое|Караку́рт - тип членистоногие|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D1%83%D1%80%D1%82|1|0
КАРАКУРТ|паук|насекомое|Многие уверены, что пауки - то насекомые, хотя это отдельный отряд и отдельный класс – паукообразные (Arachnida, подтип Хелицеровые - Chelicerata, тип Членистоногие). |http://www.vokrugsveta.ru/encyclopedia/index.php?title=%D0%9F%D0%B0%D1%83%D0%BA%D0%B8|0|Паук=>насекомое или нет (с точки зрения науки - нет, но многие считают)
КАРАКУРТ|паук|животное|С научной точки зрения считается, что пауки - это животные, относящиеся к типу членистоногих, классу паукообразных. |https://yandex.ru/znatoki/question/animals/pauk_nasekomoe_ili_zhivotnoe_80a42e05/|0|Паук => животное
КАРБАС|КАРБАС|лодка|Карбас - большая лодка для рыбного промысла (на Белом и Баренцевом морях)|https://www.google.com/search?biw=1536&bih=754&sxsrf=ACYBGNSUiy6Rls40r0TxmXIBQT7qR-in9A%3A1581885158165&ei=5qZJXrLfCd2Ik74PydWFmA0&q=%D0%9A%D0%90%D0%A0%D0%91%D0%90%D0%A1&oq=%D0%9A%D0%90%D0%A0%D0%91%D0%90%D0%A1&gs_l=psy-ab.3..0l4j0i10l6.17392.17392..17764...0.0..0.177.333.0j2......0....2j1..gws-wiz.......35i39.0TxWI4xawzc&ved=0ahUKEwiy6rW39dbnAhVdxMQBHclqAdMQ4dUDCAs&uact=5|1|0
КАРБАС|КАРБАС|судно |Ка́рбас - судно среднего размера, одно из основных у поморов и распространённое у других жителей Севера и Сибири, начиная не позднее чем с XV[2] и до середины XX века. Для поморского диалекта русского языка характерно произношение с ударением на первый слог и форма множественного числа «карбаса́»[3].|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B0%D1%81|1|0
КАРБАС|КАРБАС|транспортное судно |Карбас - это промысловое и транспортное судно среднего размера, одно из основных у поморов и распространённое у других жителей Севера и Сибири, начиная не позднее чем с XV[2] и до середины XX века. Для поморского диалекта русского языка характерно произношение с ударением на первый слог и форма множественного числа «карбаса́»[3].|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B0%D1%81|1|0
КАРБАС|судно|плавучее сооружение|Су́дно — плавучее сооружение, предназначенное для транспортных, промысловых, военных, научных, спортивных и других целей|https://ru.wikipedia.org/wiki/%D0%A1%D1%83%D0%B4%D0%BD%D0%BE|0|Карбас =>судно=>транспортное средство
КАРБАС|судно|средство передвижения|Крупное морское судно - Средство передвижения, на котором путешествуют или перевозят что-либо по воде или по воздуху|https://studfile.net/preview/5247967/page:8/|0|Карбас =>судно=>средство передижения
КАРБИД|КАРБИД|соединение металлов и неметаллов|Карбиды — соединения металлов и неметаллов с углеродом. Традиционно к карбидам относят соединения, где углерод имеет бо́льшую электроотрицательность, чем второй элемент (таким образом из карбидов исключаются такие соединения углерода, как оксиды, галогениды и т. п.)|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B8%D0%B4%D1%8B|1|0
КАРБИД|КАРБИД|тугоплавкое твердое вещество|Карбиды — тугоплавкие твёрдые вещества. Они нелетучи и не растворимы ни в одном из известных растворителей. Карбиды бора и кремния (В4С и SiC), титана, вольфрама, циркония (TiC, WC и ZrC соответственно) обладают высокой твёрдостью, жаростойкостью, химической инертностью.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B8%D0%B4%D1%8B|1|0
КАРБИД|КАРБИД|вещество|Карбиды — тугоплавкие твёрдые вещества. Они нелетучи и не растворимы ни в одном из известных растворителей. Карбиды бора и кремния (В4С и SiC), титана, вольфрама, циркония (TiC, WC и ZrC соответственно) обладают высокой твёрдостью, жаростойкостью, химической инертностью.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B8%D0%B4%D1%8B|1|0
КАРБИД|КАРБИД|химическое соединение|Карбиды - химические соединения, которые получаеются в результате щелочных реакций углерода с металлами. В большинстве случаев получаются сверхтвердые сплавы, сравнимые по своим твердостным характеристикам с алмазом.|http://himopttorg.ru/spravochnik-khimopttorg/karbid-kaltsiya-ispolzovanie-i-mery-predostorozhnosti/|1|0
КАРБИД|КАРБИД|композит|Карбид - это композит, который состоит из твердого материала и относительного мягкого связующего вещества. Он отличается чрезвычайно высокой твердостью при стандартных и высоких температурах, а также повышенной износостойкостью. Этот материал применяется при производстве инструментов или компонентов в большом количестве областей, где требуется особая износостойкость (например, при обработке твердых материалов). Карбид улучшает качество инструментов и компонентов, повышает продолжительность их срока службы и обеспечивает безопасность технологических процессов.|https://www.ceratizit.com/ru/home/karbid-volframa/|1|0
КАРДИОМИОПАТИЯ|КАРДИОМИОПАТИЯ|первичное заболевнаие сердечной системы|Кардиомиопатия - это первичные заболевания сердечной мышцы. Их надо отличать от структурных заболеваний сердца, таких как ишемическая болезнь сердца, патология клапанного аппарата, врожденные пороки сердца. На основании патологических признаков кардиомиопатии подразделяются на 3 основных типа: (см. рисунок Типы кардиомиопатии [Forms of cardiomyopathy]):|https://www.msdmanuals.com/ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9/%D0%BD%D0%B0%D1%80%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D1%8F-%D1%81%D0%B5%D1%80%D0%B4%D0%B5%D1%87%D0%BD%D0%BE-%D1%81%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D1%81%D1%82%D0%BE%D0%B9-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B/%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B8/%D0%BE%D0%B1%D0%B7%D0%BE%D1%80-%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B9-overview-of-cardiomyopathies|1|0
КАРДИОМИОПАТИЯ|КАРДИОМИОПАТИЯ|нарушение функционирования миокарда |Дилатационная Кардиомиопатия - нарушение функционирования миокарда, приводящее к сердечной недостаточно­сти, при которой преобладают дилатация желудочков и систолическая дисфункция. Симптомы включают одышку, усталость и периферические отеки. Диагноз устанавливают на основании клинических данных и повышенного содержания натрийуретических пептидов, результатов рентгенографии грудной клетки, эхокардиографии и МРТ. Лечение ориентировано на устранение причины заболевания. Если сердечная недостаточность является тяжелой и прогрессирующей, могут быть показаны: ресинхронизирующая сердечная терапия, ИКД, ликвидация тяжелой митральной регургитации или трансплантация сердца.|https://www.msdmanuals.com/ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9/%D0%BD%D0%B0%D1%80%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D1%8F-%D1%81%D0%B5%D1%80%D0%B4%D0%B5%D1%87%D0%BD%D0%BE-%D1%81%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D1%81%D1%82%D0%%D0%B9-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B/%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B8/%D0%B4%D0%B8%D0%BB%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%B0%D1%8F-%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D1%8F|1|0
КАРДИОМИОПАТИЯ|КАРДИОМИОПАТИЯ|заболевание миокарда|Кардиомиопатия - гетерогенная группа заболеваний миокарда, связанных с механической или электрической дисфункцией, которая обычно проявляется неадекватной гипертрофией или дилатацией. Кардиомиопатии могут как изолированно поражать только сердце, так и быть частью генерализованного системного заболевания, часто приводят к сердечно-сосудистой смерти или к инвалидизации, обусловленной прогрессирующей сердечной недостаточностью.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B8|1|0
КАРДИОМИОПАТИЯ|КАРДИОМИОПАТИЯ|сердечная патология |Кардиомиопатия - это сердечная патология, характеризующаяся поражением миокарда (мышечного, срединно-расположенного слоя сердца). При заболевании отмечается нарушение циркуляции крови по всему организму, что негативно отражается на его функционировании и провоцирует угрозу для жизни человека.|https://www.smclinic.ru/diseases/k/kardiomiopatiya/|1|0
КАРДИОМИОПАТИЯ|КАРДИОМИОПАТИЯ|группа заболеваний сердца|Кардиомиопатия (КМП) — это группа заболеваний сердца, главной характеристикой которых является наличие дефектов в самой сердечной мышце, миокарде. При этом причины возникновения патологии и характер повреждения мышцы могут сильно различаться, что влечет за собой разницу в симптомах болезни и ее лечении.|https://odrex.ua/treatment/kardiomiopatii/|1|0
КАРЕТКА|КАРЕТКА|часть велосипеда|Велосипедная каретка (англ. bottom bracket) — часть велосипеда, соединяющая, с одной стороны, шатуны педалей и ведущую звезду и раму велосипеда, с другой стороны. Каретка позволяет свободно вращать шатуны педалей, приводить в движение велосипедную трансмиссию, при этом обеспечивая её жесткую фиксацию на велосипеде. Конструктивно представляет собой вал, систему подшипников и стакан, фиксирующий на каретку элемент на раме.|https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%BE%D1%81%D0%B8%D0%BF%D0%B5%D0%B4%D0%BD%D0%B0%D1%8F_%D0%BA%D0%B0%D1%80%D0%B5%D1%82%D0%BA%D0%B0|1|0
КАРЕТКА|КАРЕТКА|часть механизма|КАРЕТКА — часть механизма или машины, передвигающаяся по направляющим или, реже, вращающаяся в подшипниках (в металлорежущих станках — часть суппорта, в пишущих машинках — рамка с валиком для бумаги, в ткацких станках — часть механизма, изготавливающая мелкоузорчатые или сложные переплетения тканей, в велосипедах — педальный механизм и др.).|https://polytechnic_dictionary.academic.ru/875/%D0%9A%D0%90%D0%A0%D0%95%D0%A2%D0%9A%D0%90|1|0
КАРЕТКА|КАРЕТКА|часть машины|КАРЕТКА — часть машины, передвигающаяся по направляющим или, реже, вращающаяся в подшипниках (в металлорежущих станках — часть суппорта, в пишущих машинках — рамка с валиком для бумаги, в ткацких станках — часть механизма, изготавливающая мелкоузорчатые или сложные переплетения тканей, в велосипедах — педальный механизм и др.).|https://polytechnic_dictionary.academic.ru/875/%D0%9A%D0%90%D0%A0%D0%95%D0%A2%D0%9A%D0%90|1|0
КАРЕТКА|КАРЕТКА|рабочий орган вязаотной машины|Каретка - это самый важный рабочий орган вязальной машины. Используя рычаги управления расположенные на каретке, можно управлять работой иголок для выполнения различных переплетений. То есть, при вязании узоров и сложных рисунков, иголки будут выдвигаться в рабочее или нерабочее положении. Те иголки, которые в рабочем положении, каретка будет провязывать и наоборот. Если каретка движется слева направо, то пользуются рычагами справа, и наоборот - это важный момент. Управление рычагами каретки вязальной машины при вязании различных узоров предпочтительней осваивать опытным путем.|http://www.shyu.ru/shvejnye-terminy-k.html|1|0
КАРЕТКА|КАРЕТКА|узел|Каретка - узел, помещающийся в кареточной трубе. Каретка состоит из вала (оси) каретки, подшипников и двух шатунов.|https://sportextrem.ru/articles/poleznoe/slovar-velosipednykh-terminov/|1|0
КАРТ|КАРТ|автомобиль |КАРТ (англ. cart) - гоночный микролитражный автомобиль без кузова, дифференциала и упругой подвески колес для соревнований на небольшой площадке (картинг). Двигатель 2-тактный с рабочим объемом до 250 см³. Максимальная скорость 150 км/ч.|https://dic.academic.ru/dic.nsf/enc3p/149898|1|0
КАРТ|КАРТ|гоночный автомобиль|КАРТ (англ. cart) - гоночный микролитражный автомобиль без кузова, дифференциала и упругой подвески колес для соревнований на небольшой площадке (картинг). Двигатель 2-тактный с рабочим объемом до 250 см³. Максимальная скорость 150 км/ч.|https://dic.academic.ru/dic.nsf/enc3p/149898|1|0
КАРТ|автомобиль|транспорт|Автомобиль — средство безрельсового транспорта с собственным двигателем|https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B0%D0%BD%D1%81%D0%BF%D0%BE%D1%80%D1%82|0|карт=>автомобиль=>транспорт
КАРТ|КАРТ|машина|основной парк наших машин - это карт|https://www.kartracing.ru/%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%BE-%D0%BA%D0%B0%D1%80%D1%82%D0%B0/|1|0
КАРТ|автомобиль|средство передвижения|Автомобиль — это и роскошь, и средство передвижения|https://www.ntv.ru/novosti/3179/|0|карт=>автомобиль=>средство передвижения
КАРТИНГИСТ|КАРТИНГИСТ|спортсмен|картингист - спортсмен, занимающийся картингом|https://ru.wiktionary.org/wiki/%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%B3%D0%B8%D1%81%D1%82|1|0
КАРТИНГИСТ|КАРТИНГИСТ|участник картинга|картингист - участник картинга|http://xn----8sbauh0beb7ai9bh.xn--p1ai/%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%B3%D0%B8%D1%81%D1%82|1|0
КАРТИНГИСТ|профессионал|человек|Профессионал — человек, сделавший определённое занятие (дело) своей профессией|https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB|0|картингист=>профессионал=>человек
КАРТИНГИСТ|КАРТИНГИСТ|участник гонок|картингист - участик гонок|https://www.redbull.com/ru-ru/karting-entertainment-or-sports|0|overview of article
КАРТИНГИСТ|пилот|водитель |Пилот — водитель гоночного автомобиля.|https://ru.wikipedia.org/wiki/%D0%A1%D0%BB%D0%BE%D0%B2%D0%B0%D1%80%D1%8C_%D0%B0%D0%B2%D1%82%D0%BE%D0%B3%D0%BE%D0%BD%D0%BE%D1%87%D0%BD%D1%8B%D1%85_%D1%82%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%BE%D0%B2|0|картингист=>гонщик=>водитель
КАРТОФЕЛЕВОД|КАРТОФЕЛЕВОД|специались|картофелевод - Специалист по картофелеводству|https://dic.academic.ru/dic.nsf/ogegova/80930|1|0
КАРТОФЕЛЕВОД|овощевод|фермер|Мы, фермеры-овощеводы, встречались с ведущими специалистами, профессорами Всероссийского научно-исследовательского института селекции и семеноводства овощных культур (ФГБНУ ВНИИССОК). Они нас услышали – семена стали качественными по всхожести.|http://mcx.ru/press-service/regions/lyudi-truda-kartofelevod-valentin-lekontsev-iz-udmurtii/|0|картофелевод=>овощевод=>фермер
КАРТОФЕЛЕВОД|КАРТОФЕЛЕВОД|овощевод| Картофелевод - овощевод|https://noun_ru.academic2.ru/3656/%D0%BA%D0%B0%D1%80%D1%82%D0%BE%D1%84%D0%B5%D0%BB%D0%B5%D0%B2%D0%BE%D0%B4|1|0
КАРТОФЕЛЕВОД|КАРТОФЕЛЕВОД|растеньевод| Картофелевод - растеньевод|https://noun_ru.academic2.ru/3656/%D0%BA%D0%B0%D1%80%D1%82%D0%BE%D1%84%D0%B5%D0%BB%D0%B5%D0%B2%D0%BE%D0%B4|1|0
КАРТОФЕЛЕВОД|Фермер|человек|Фермер — это человек, который на собственной или арендованной земле содержит хозяйство.|https://proforientator.ru/professions/agronom-fermer/|0|Картофелевод=>фермер=>человек
КАРТУЗ|КАРТУЗ|головной убор|Картуз — мужской головной убор, имевший распространение в XVI — начале XX века в Северной и Восточной Европе (больше всего у немцев, голландцев и русских).|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D1%82%D1%83%D0%B7|1|0
КАРТУЗ|КАРТУЗ|мешок|Картуз - Бумажный мешок для чего-н. сыпучего устар..|https://how-to-all.com/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5:%D0%BA%D0%B0%D1%80%D1%82%D1%83%D0%B7|1|0
